,level_0,index,From,To,FVR from to,FVR to from,Distance
0,488,532,Greece,Cyprus,106.748611895351,129.8364253023864,168.08558378661283
1,366,397,Sweden,Denmark,46.41218912778342,74.10041639497487,87.43547912341876
2,286,317,Norway,Sweden,75.35941623997218,40.83757562452205,85.71317984369696
3,204,205,Italy,Portugal,0.645212630506748,76.93297068428647,76.93567623442227
4,342,373,Spain,Greece,46.092687615924255,58.67282660654582,74.61257557316306
5,79,79,France,Portugal,69.38345027006018,-2.1639970023096975,69.4171884651339
6,205,206,Italy,Spain,28.580929373344233,56.932970684286474,63.70425947126231
7,336,367,Spain,Switzerland,-44.178319830810075,41.17748688546912,60.392957944418725
8,335,366,Spain,Sweden,-41.77101854263654,-42.08454520009238,59.29525221118386
9,40,40,Finland,Italy,54.682970684286474,-13.10057831745138,56.23035154709786
10,504,548,Denmark,Iceland,30.24910596649727,47.194865127244995,56.05679000933988
11,310,341,Portugal,Spain,-14.42725619753484,53.50109732888371,55.4122110800859
